Model,Rank,Feature,Importance,Cumulative_Importance
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",15,TotalUnempPct_QoQ_last1,0.009503228645416684,0.8571697324360216
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",16,ROE_last1,0.009048411839334667,0.8662181442753563
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",17,VIX_QoQ_Lag2,0.008993204906319465,0.8752113491816758
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",18,FnG_QoQ,0.008396874239986859,0.8836082234216626
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",19,Last3mCumulativeRevenueGrowthRate_last1,0.008218198025861803,0.8918264214475243
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",20,ROA_last1,0.007832995795019036,0.8996594172425434
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",1,Spread_cur,0.3585597500937898,0.3585597500937898
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.0732566962597947,0.4318164463535845
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",3,TradingVolume_cur,0.06850924360918902,0.5003256899627735
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",4,TradingMoney_cur,0.06446578032875816,0.5647914702915316
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",5,QuarterlyReturn_Lag1,0.057849656509952746,0.6226411268014844
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",6,SOX_QoQ,0.049712288350647886,0.6723534151521323
