Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"XGB Model4 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.000526,0.016415,0.928527,0.928384
"XGB Model4 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.003017,0.033143,0.662110,0.657267
"XGB Model4 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001897,0.027566,0.742167,0.741654
"XGB Model4 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002860,0.031917,0.679703,0.675112
"XGB Model4 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001607,0.026235,0.781510,0.781076
"XGB Model4 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002801,0.031941,0.686375,0.681880
"XGB Model4 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001445,0.025399,0.803571,0.803181
"XGB Model4 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002817,0.032174,0.684597,0.680076
"XGB Model4 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001394,0.024989,0.810466,0.810089
"XGB Model4 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002868,0.031833,0.678810,0.674206
"XGB Model4 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.000965,0.021818,0.868768,0.868507
"XGB Model4 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002931,0.032588,0.671810,0.667106
"XGB Model4 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.000740,0.019457,0.899336,0.899136
"XGB Model4 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002984,0.033076,0.665809,0.661019
"XGB Model4 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.000894,0.020971,0.878432,0.878190
"XGB Model4 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.003076,0.032803,0.655591,0.650655
"XGB Model4 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.000434,0.015020,0.941066,0.940949
"XGB Model4 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.003146,0.033724,0.647687,0.642637
"XGB Model4 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.000235,0.011069,0.968020,0.967957
"XGB Model4 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.003186,0.034296,0.643259,0.638146
KNN Model4 - 2017Q1 to 2026Q4,Training_Set,0.000000,0.000000,1.000000,1.000000
KNN Model4 - 2017Q1 to 2026Q4,Holdout_Set,0.004241,0.040439,0.525082,0.518275
OLS Model4 - 2017Q1 to 2026Q4,Training_Set,0.002207,0.029646,0.699971,0.699374
OLS Model4 - 2017Q1 to 2026Q4,Holdout_Set,0.003082,0.035890,0.654829,0.649881
Lasso Model4 - 2017Q1 to 2026Q4,Training_Set,0.002409,0.030853,0.672510,0.671858
Lasso Model4 - 2017Q1 to 2026Q4,Holdout_Set,0.003086,0.033546,0.654484,0.649532
Ridge Model4 - 2017Q1 to 2026Q4,Training_Set,0.002207,0.029645,0.699969,0.699372
Ridge Model4 - 2017Q1 to 2026Q4,Holdout_Set,0.003074,0.035744,0.655795,0.650862
