Date,VIX,SOX,DJIA,IXIC,SP500,FnG
2017-09-18,10.15,1160.9,22331.35,6454.64,2503.87,80.0
2017-09-19,10.18,1164.98,22370.8,6461.32,2506.65,81.0
2017-09-20,9.78,1148.6,22412.59,6456.04,2508.24,79.0
2017-09-21,9.67,1143.87,22359.23,6422.69,2500.6,73.0
2017-09-22,9.59,1149.59,22349.59,6426.92,2502.22,70.0
2017-09-25,10.21,1126.94,22296.09,6370.59,2496.66,65.0
2017-09-26,10.17,1126.4,22284.32,6380.16,2496.84,67.0
2017-09-27,9.87,1153.0,22340.71,6453.26,2507.04,78.0
2017-09-28,9.55,1161.69,22381.2,6453.45,2510.06,79.0
2017-09-29,9.51,1171.74,22405.09,6495.96,2519.36,85.0
2017-10-02,9.45,1178.75,22557.6,6516.72,2529.12,89.0
2017-10-03,9.51,1182.43,22641.67,6531.71,2534.58,92.0
2017-10-04,9.63,1185.24,22661.64,6534.63,2537.74,91.0
2017-10-05,9.19,1186.07,22775.39,6585.36,2552.07,95.0
2017-10-06,9.65,1191.45,22773.67,6590.18,2549.33,92.0
2017-10-09,10.33,1199.86,22761.07,6579.73,2544.73,84.0
2017-10-10,10.08,1207.2,22830.68,6587.25,2550.64,85.0
2017-10-11,9.85,1215.19,22872.89,6603.55,2555.24,83.0
2017-10-12,9.91,1211.1,22841.01,6591.51,2550.93,77.0
2017-10-13,9.61,1219.21,22871.72,6605.8,2553.17,73.0
2017-10-16,9.91,1224.99,22956.96,6624.0,2557.64,78.0
2017-10-17,10.31,1224.12,22997.44,6623.66,2559.36,78.0
2017-10-18,10.07,1228.16,23157.6,6624.22,2561.26,82.0
2017-10-19,10.05,1225.05,23163.04,6605.07,2562.1,83.0
2017-10-20,9.97,1231.34,23328.63,6629.05,2575.21,90.0
2017-10-23,11.07,1237.14,23273.96,6586.83,2564.98,85.0
2017-10-24,11.16,1245.38,23441.76,6598.43,2569.13,87.0
2017-10-25,11.23,1229.27,23329.46,6563.89,2557.15,75.0
2017-10-26,11.3,1237.03,23400.86,6556.77,2560.4,71.0
2017-10-27,9.8,1263.55,23434.19,6701.26,2581.07,73.0
2017-10-30,10.5,1265.91,23348.74,6698.96,2572.83,74.0
2017-10-31,10.18,1275.61,23377.24,6727.67,2575.26,65.0
2017-11-01,10.2,1271.51,23435.01,6716.53,2579.36,72.0
2017-11-02,9.93,1277.34,23516.26,6714.94,2579.85,69.0
