Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.021567,0.098044,0.295416,0.285996
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.021628,0.098468,0.293451,0.284004
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.021784,0.098355,0.288358,0.278844
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.021587,0.097984,0.294792,0.285363
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.021770,0.098300,0.288795,0.279286
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.021927,0.098466,0.283671,0.274094
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.021761,0.098277,0.289106,0.279601
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.017451,0.068371,0.545875,0.545054
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.017370,0.068169,0.547970,0.547153
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.017405,0.068146,0.547062,0.546244
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.018798,0.069712,0.510815,0.509932
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.018750,0.069568,0.512074,0.511193
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.018769,0.069530,0.511587,0.510705
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.015803,0.067356,0.588757,0.588015
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.015741,0.067179,0.590382,0.589642
RF,Model 1,Training Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.015783,0.067151,0.589284,0.588542
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.021428,0.076938,0.442380,0.441372
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.021618,0.077116,0.437434,0.436417
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.021699,0.077151,0.435329,0.434309
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.023087,0.078583,0.399212,0.398127
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.023253,0.078750,0.394901,0.393808
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.023208,0.078643,0.396067,0.394976
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.019882,0.076245,0.482621,0.481686
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.019968,0.076100,0.480384,0.479446
RF,Model 1,Training Set,"max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.020002,0.076005,0.479495,0.478555
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.020476,0.074837,0.467163,0.466200
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.020639,0.075006,0.462919,0.461949
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.020656,0.075007,0.462470,0.461499
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.021921,0.076417,0.429548,0.428518
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.022051,0.076475,0.426160,0.425123
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.022048,0.076404,0.426245,0.425209
RF,Model 1,Training Set,"max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.018656,0.073695,0.514518,0.513641
